"Park_Code","Title","Duration","Short_Description","Image_URL","Record_Type"
"alpo","Daily Programs","","Costumed rangers conduct a variety of program offerings throughout the summer months and end on September 1, 2025.","https://www.nps.gov/common/uploads/cropped_image/3F94F569-E6B0-5A52-DB4E1DAAA1F55D9D.jpg","Thing To Do"
"alpo","Evening on the Summit","","Attend an Evening on the Summit program select Tuesday evenings during the summer months.","https://www.nps.gov/common/uploads/cropped_image/0B9B994D-F464-2C24-4FA63D0026640415.jpg","Thing To Do"
"alpo","Guided Hikes","","Heritage Hikes are led by a park ranger during the summer months. The distance varies by hike. Reservations are required.","https://www.nps.gov/common/uploads/cropped_image/5E087231-BD88-6B27-1F6915A07B7E1E2E.jpg","Thing To Do"
"alpo","Lemon House","10","By 1834, Samuel Lemon built this substantial stone house east of the summit of the Allegheny Mountains. He and his family lived in the Lemon House from 1834 to 1847 and operated a tavern serving passengers of the newly built ""Allegheny Portage Railroad"" as well as the wayfarers of the ""Northern Turnpike.""","https://www.nps.gov/common/uploads/tours/A152E4C2-BB60-F387-90314D6A290AA9F6.jpg","Tour"
"alpo","Living History Day","","Living History Day is an annual event at the park!","https://www.nps.gov/common/uploads/cropped_image/5D93B15C-FFCE-A2F2-BA521D42B6E4D762.jpg","Thing To Do"
"amch","Amache Junior Ranger","","Become at Amache Junior Ranger! Books are available at the Amache Museum.","https://www.nps.gov/common/uploads/cropped_image/69D22B60-A756-B3BE-8E7E7B26C9D537F7.jpg","Thing To Do"
"anac","Collect all the National Capital Parks - East Passport Stamps","5-10 Minutes","Start your stamp collection and celebrate every park you visit! Explore historic sites and scenic parks managed by National Capital Parks - East and collect a unique stamp at each one.","https://www.nps.gov/common/uploads/cropped_image/08672F5E-F2EA-FB1F-D554059B400A0EDD.jpg","Thing To Do"
"anac","Junior Ranger Programs at National Capital Parks - East","30-90 Minutes","Become a Junior Ranger at parks across National Capital Parks – East! Explore, complete a booklet, and earn badges and certificates along the way!","https://www.nps.gov/common/uploads/cropped_image/DC76130F-EB19-5594-520EFD2DE76D1D8E.jpg","Thing To Do"
"anch","Visit the Anchorage Alaska Public Lands Information Center","1-5 Hours","Kick off your visit to Alaska with a stop at the Anchorage Alaska Public Lands Information Center. Get trip planning advice, explore exhibits, watch a park film, become a Jr Ranger and more!","https://www.nps.gov/common/uploads/cropped_image/A8A4C000-1DD8-B71B-0BF75FAEF6C7EE83.jpg","Thing To Do"
"anti","Farmsteads Tour","30","This tour will direct visitors to the historic farmsteads on the battlefield. It will be combination of driving to each site and depending upon your level of interest, you will have to walk about five minutes in some cases to see the farm. Only the Pry and Newcomer Houses are open to the public, limited hours during the summer.","https://www.nps.gov/common/uploads/tours/2D3777D7-D4C2-6187-D1208FBB2DE4C393.jpg","Tour"
"anti","Remembered Trail","20","What is a Battlefield Park? How does a nation commemorate and remember its history? During this walk you will discover how veterans, the military, citizens, and the National Park Service created and preserved the tangible reminders of the Battle of Antietam for over 140 years. The paved, quarter-mile trail starts and ends at the visitor center. It will take you past some significant landmarks and monuments that help tell the story of the battle and the evolution of this national park.","https://www.nps.gov/common/uploads/tours/8405E92B-0623-911D-3844880AEF48DDA2.jpg","Tour"
"anti","The Union Advance Trail at Antietam","30-90 Minutes","Hike the Union Advance Trail to learn about the fighting around the famous Burnside Bridge.","https://www.nps.gov/common/uploads/cropped_image/54150E3D-D2C7-2BCD-6D365CA8ACC3F07D.jpg","Thing To Do"
"anti","Visit Antietam National Battlefield Visitor Center","20 Minutes","The should be the first stop for every visitor to Antietam. Rangers and volunteers provide maps and information to help you get off on the right path for your visit.","https://www.nps.gov/common/uploads/cropped_image/ED867E8B-CB16-58B9-63F19271E0CE8BF6.jpg","Thing To Do"
"apco","Appomattox Court House Village Tour","30","Explore the history of the village and of Appomattox Court House! This one-mile-long self-guided tour follows gravel and grassy paths accessible to most wheelchairs. Due to the historic nature of the structures, many of the park buildings are not accessible to those unable to climb steps.","https://www.nps.gov/common/uploads/tours/B6A79137-FA0B-BA97-D46F0BE8F5347150.jpg","Tour"
"apco","Civil War and Reconstruction Tour","30","Explore Civil War and Reconstruction stories throughout the village of Appomattox Court House. This one-mile-long self-guided tour follows gravel and grassy paths accessible to most wheelchairs. Due to the historic nature of the structures, many of the park buildings are not accessible to those unable to climb steps.","https://www.nps.gov/common/uploads/tours/B6CC3926-B761-2D30-1EEA153CAB36CB37.jpg","Tour"
"appa","Multi-Park Loop","","Park your car and stretch your legs! Visit four different National Parks in Washington, DC and begin logging miles on seven different National Historic or National Scenic trails!","https://www.nps.gov/common/uploads/cropped_image/EB3038DE-0A15-2EE3-12C74EDC37AC4A92.jpg","Thing To Do"
